year_month,sku_id,factory_type,factory,product_category,product_series,labor_unit_price,sku_source,monthly_order_qty,monthly_delivery_qty,monthly_delivery_labor_value
2025-04-01,SKU_000001,Unknown,Factory_001,Unknown,Series_001,,Unknown,0,0,0.0
2025-05-01,SKU_000001,Unknown,Factory_001,Unknown,Series_001,,Unknown,0,0,0.0
2025-06-01,SKU_000001,Unknown,Factory_001,Unknown,Series_001,,Unknown,0,0,0.0
2025-07-01,SKU_000001,Unknown,Factory_001,Unknown,Series_001,,Unknown,0,0,0.0
2024-08-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,1332,1332,0.0
2022-05-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,733,733,0.0
2022-08-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,628,628,0.0
2022-10-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,563,563,0.0
2023-10-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,473,473,0.0
2022-09-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,456,456,0.0
2022-11-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,431,431,0.0
2025-04-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_048,0.0,Unknown,402,402,0.0
2023-04-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,394,400,0.0
2022-11-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,383,376,0.0
2023-02-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,353,353,0.0
2024-01-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,347,347,0.0
2024-10-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,341,341,0.0
2024-11-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_048,0.0,Unknown,333,333,0.0
2025-06-01,SKU_000002,In-house,Factory_109,Unknown,Series_002,0.0,Unknown,332,1,0.0
2022-07-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,327,327,0.0
2024-06-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_048,0.0,Unknown,319,319,0.0
2025-04-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,318,318,0.0
2024-08-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_048,0.0,Unknown,297,297,0.0
2023-08-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,260,260,0.0
2022-06-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,252,252,0.0
2023-01-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,252,252,0.0
2025-01-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_048,0.0,Unknown,252,252,0.0
2023-03-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,228,228,0.0
2022-07-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,226,226,0.0
2022-12-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,221,221,0.0
2025-01-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,220,221,0.0
2025-06-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_048,0.0,Unknown,219,219,0.0
2024-07-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_048,0.0,Unknown,211,211,0.0
2023-07-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,184,184,0.0
2022-04-01,SKU_000002,External,Factory_065,Gem-set Jewelry,Series_002,0.0,Unknown,180,180,0.0
2023-09-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,168,168,0.0
2024-12-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,168,168,0.0
2023-08-01,SKU_000002,In-house,Factory_051,Unknown,Series_002,0.0,Unknown,145,18,0.0
2022-04-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,144,144,0.0
2023-03-01,SKU_000002,External,Factory_065,Gem-set Jewelry,Series_002,0.0,Unknown,139,139,0.0
2024-10-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_048,0.0,Unknown,137,137,0.0
2023-04-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,135,135,0.0
2024-04-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_048,0.0,Unknown,122,122,0.0
2023-11-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,121,121,0.0
2023-05-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,117,117,0.0
2025-03-01,SKU_000002,External,Factory_119,Gem-set Jewelry,Series_002,0.0,Unknown,110,0,0.0
2022-08-01,SKU_000002,External,Factory_098,Gem-set Jewelry,Series_002,0.0,Unknown,106,106,0.0
2025-06-01,SKU_000002,In-house,Factory_022,Gem-set Jewelry,Series_002,0.0,Unknown,105,0,0.0
2024-07-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,103,103,0.0
2025-05-01,SKU_000002,In-house,Factory_022,Fixed-price Gold,Series_002,0.0,Unknown,103,0,0.0
2023-12-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,101,101,0.0
2024-06-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,86,86,0.0
2024-09-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,86,86,0.0
2025-02-01,SKU_000002,External,Factory_119,Gem-set Jewelry,Series_002,0.0,Unknown,85,0,0.0
2024-12-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,83,82,0.0
2023-08-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,82,82,0.0
2025-06-01,SKU_000002,External,Factory_090,Gem-set Jewelry,Series_002,0.0,Unknown,82,81,0.0
2024-09-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,77,77,0.0
2025-01-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,75,75,0.0
2023-06-01,SKU_000002,External,Factory_013,Gem-set Jewelry,Series_002,0.0,Unknown,72,72,0.0
2022-08-01,SKU_000002,External,Factory_065,Gem-set Jewelry,Series_002,0.0,Unknown,69,69,0.0
2024-03-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_048,0.0,Unknown,67,67,0.0
2023-06-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,66,66,0.0
2024-03-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,66,66,0.0
2025-03-01,SKU_000002,External,Factory_116,Gem-set Jewelry,Series_002,0.0,Unknown,64,22,0.0
2024-09-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_048,0.0,Unknown,62,62,0.0
2025-04-01,SKU_000002,External,Factory_116,Gem-set Jewelry,Series_002,0.0,Unknown,62,10,0.0
2025-03-01,SKU_000002,External,Factory_119,Fixed-price Gold,Series_002,0.0,Unknown,62,0,0.0
2022-08-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,60,60,0.0
2024-11-01,SKU_000002,External,Factory_121,Gem-set Jewelry,Series_002,0.0,Unknown,59,59,0.0
2023-05-01,SKU_000002,In-house,Factory_051,Unknown,Series_002,0.0,Unknown,58,49,0.0
2025-06-01,SKU_000002,In-house,Factory_095,Fixed-price Gold,Series_002,0.0,Unknown,58,0,0.0
2025-04-01,SKU_000002,In-house,Factory_022,Fixed-price Gold,Series_002,0.0,Unknown,57,0,0.0
2024-11-01,SKU_000002,External,Factory_065,Gem-set Jewelry,Series_002,0.0,Unknown,53,53,0.0
2025-05-01,SKU_000002,In-house,Factory_022,Gem-set Jewelry,Series_002,0.0,Unknown,52,0,0.0
2022-07-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,51,53,0.0
2023-12-01,SKU_000002,In-house,Factory_051,Unknown,Series_002,0.0,Unknown,50,8,0.0
2025-06-01,SKU_000002,External,Factory_116,Gem-set Jewelry,Series_002,0.0,Unknown,50,3,0.0
2022-05-01,SKU_000002,External,Factory_065,Gem-set Jewelry,Series_002,0.0,Unknown,49,49,0.0
2022-06-01,SKU_000002,External,Factory_037,Gem-set Jewelry,Series_002,0.0,Unknown,48,46,0.0
2024-05-01,SKU_000002,External,Factory_065,Gem-set Jewelry,Series_002,0.0,Unknown,47,47,0.0
2025-07-01,SKU_000002,In-house,Factory_048,Gold Jewelry,Series_002,0.0,Unknown,47,0,0.0
2025-06-01,SKU_000002,In-house,Factory_022,Fixed-price Gold,Series_002,0.0,Unknown,46,0,0.0
2025-05-01,SKU_000002,In-house,Factory_095,Fixed-price Gold,Series_002,0.0,Unknown,46,0,0.0
2025-03-01,SKU_000002,In-house,Factory_022,Fixed-price Gold,Series_002,0.0,Unknown,45,0,0.0
2025-06-01,SKU_000002,External,Factory_004,Fixed-price Gold,Series_002,0.0,Unknown,43,0,0.0
2025-06-01,SKU_000002,External,Factory_119,Gem-set Jewelry,Series_002,0.0,Unknown,43,0,0.0
2025-04-01,SKU_000002,External,Factory_021,Gem-set Jewelry,Series_002,0.0,Unknown,41,0,0.0
2025-04-01,SKU_000002,In-house,Factory_022,Gem-set Jewelry,Series_002,0.0,Unknown,40,0,0.0
2025-05-01,SKU_000002,In-house,Factory_052,Unknown,Series_002,0.0,Unknown,39,1,0.0
2025-04-01,SKU_000002,In-house,Factory_048,Gem-set Jewelry,Series_002,0.0,Unknown,38,0,0.0
2025-04-01,SKU_000002,In-house,Factory_022,Gold Jewelry,Series_002,0.0,Unknown,38,0,0.0
2025-04-01,SKU_000002,External,Factory_119,Gem-set Jewelry,Series_002,0.0,Unknown,37,0,0.0
